Central,432744,https://repo1.maven.org/maven2/
JCenter,370997,https://jcenter.bintray.com/
Spring Plugins,54689,https://repo.spring.io/plugins-release/
Google,26795,https://maven.google.com/
Spring Lib Release,11121,https://repo.spring.io/libs-release/
Mulesoft,8891,https://repository.mulesoft.org/nexus/content/repositories/public/
Gradle Releases,5855,https://repo.gradle.org/gradle/libs-releases/
Liferay Public,4769,https://repository.liferay.com/nexus/content/repositories/public/
Imgly,4134,https://artifactory.img.ly/artifactory/imgly/
Scanbot,3935,https://nexus.scanbot.io/nexus/content/repositories/releases/
SurfStudio,3748,https://artifactory.surfstudio.ru/artifactory/libs-release-local/
Spring Lib M,3319,https://repo.spring.io/libs-milestone/
Aliyun,2391,http://maven.aliyun.com/nexus/content/repositories/releases/
SciJava Public,1642,https://maven.scijava.org/content/repositories/public/
Kakao,1350,https://devrepo.kakao.com/nexus/content/groups/public/
Couchbase,1143,https://files.couchbase.com/maven2/
Igexin,1096,http://mvn.gt.igexin.com/nexus/content/repositories/releases/
Yahoo,1038,https://dl.bintray.com/yahoo/maven/
Compose,999,https://maven.pkg.jetbrains.space/public/p/compose/dev/
Instabug,848,https://sdks.instabug.com/nexus/repository/instabug-cp/
PuNative,827,https://dl.bintray.com/pubnative/maven/
IronSrcAndroid,639,https://dl.bintray.com/ironsource-mobile/android-adapters/
Sumsub,578,https://maven.sumsub.com/repository/maven-public/
InLocoMedia,512,https://dl.bintray.com/inlocomedia/maven/
WSO2 Dist,456,http://dist.wso2.org/maven2/
Pushe,390,https://dl.bintray.com/pushe/android/
Realm,383,https://dl.bintray.com/realm/maven/
CometchatCallTeam,286,https://dl.cloudsmith.io/public/cometchat/call-team/maven/
NewsDog,264,https://dl.bintray.com/newsdog/maven/
Embrace,232,https://dl.bintray.com/embrace-io/mvn-public/
Huawei,223,https://developer.huawei.com/repo/
MobileAds,214,https://dl.bintray.com/google/mobile-ads-adapters-android/
AppLovin SDKs,214,https://dl.bintray.com/applovin/Android-Adapter-SDKs/
AutonomX,194,http://artifact.autonomx.io/artifactory/libs-release/
NBT-Adison-OW,190,https://dl.bintray.com/nbt/adison-offerwall/
IotIgnite,185,https://repo.iot-ignite.com/content/repositories/releases/
Datadog,160,https://dl.bintray.com/datadog/datadog-maven/
Twilio,149,https://dl.bintray.com/twilio/releases/
Bugtags,148,https://dl.bintray.com/bugtags/maven/
Novoda,142,https://dl.bintray.com/novoda/maven/
Wire Release,121,https://dl.bintray.com/wire-android/releases/
Data2Viz Dev,120,https://maven.pkg.jetbrains.space/data2viz/p/maven/dev/
Tensorflow,114,https://dl.bintray.com/google/tensorflow/
WSO2 Releases,108,https://maven.wso2.org/nexus/content/repositories/releases/
CometchatAndroid,105,https://dl.cloudsmith.io/public/cometchat/cometchat-pro-android/maven/
Peer5,102,https://sdk.peer5.com/android/
Spring Plugins,101,https://repo.spring.io/plugins-release/shortroid/
ICM,100,http://maven.icm.edu.pl/artifactory/repo/
Membrane SOA,99,https://repository.membrane-soa.org/content/repositories/releases/
AppLovin AA,99,https://dl.bintray.com/applovin/Android-Adapters/
DashJInterface,99,https://dl.bintray.com/dash/DashJInterface/
ImageJ Public,97,http://maven.imagej.net/content/repositories/public/
Spring Plugins,89,https://repo.spring.io/plugins-release/instagram/
TrayisAndroid,88,https://dl.bintray.com/trayis/android_lib/
Jitpack,86,https://jitpack.io/
SchibstedSpain,86,https://dl.bintray.com/schibstedspain/maven/
Microblink,82,https://maven.microblink.com/
LivotovLabs,78,https://dl.bintray.com/livotovlabs/maven/
Smart&Soft,74,https://dl.bintray.com/smartnsoft/maven/
Swirlds,71,https://art.swirlds.com/artifactory/swirlds/
Naver,69,https://naver.jfrog.io/artifactory/maven/
Onfido,64,https://dl.bintray.com/onfido/maven/
Bilibili,62,https://dl.bintray.com/bilibili/maven/
Data2Viz,56,https://maven.pkg.jetbrains.space/data2viz/p/maven/public/
IndoorAtlasBT,55,https://dl.cloudsmith.io/public/indooratlas/mvn-public/maven/
Spring Plugins,53,https://repo.spring.io/plugins-release/operations/
OpenID,51,https://dl.bintray.com/openid/net.openid/
WebRTC,51,https://dl.bintray.com/google/webrtc/
CometchatAndroid,45,https://dl.cloudsmith.io/public/cometchat/cometchat-pro-team/maven/
Exoplayer,43,https://dl.bintray.com/google/exoplayer/
JCenter,38,https://jcenter.bintray.com/dev/pinco
Algolia,35,https://dl.bintray.com/algolia/maven/
UrbanAirshipAndroid,35,https://dl.bintray.com/urbanairship/android/
CometchatAndroid,35,https://dl.cloudsmith.io/public/cometchat/cometchat-pro-android-sdk/maven/
NanorepSearch,34,https://dl.bintray.com/nanorep/search/
WSO2 Public,34,https://maven.wso2.org/nexus/content/repositories/public/
NanorepDevCore,32,https://dl.bintray.com/nanorep/devcore/
Worldline,26,https://dl.bintray.com/worldline-spain/maven/
MS OpenTech,19,https://dl.bintray.com/msopentech/Maven/
EsriAndroid,19,https://dl.bintray.com/esri/android/
Trifork,17,https://nexus.trifork.com/content/repositories/releases/
Grails Core,16,https://repo.grails.org/grails/core/
Snowplow,15,https://dl.bintray.com/snowplow/snowplow-maven/
Fidesmo,15,https://dl.bintray.com/fidesmo/maven/
OpenKM,14,http://maven.openkm.com/
Spring Plugins,14,https://repo.spring.io/plugins-release/fuel/
Jumpmind,14,http://maven.jumpmind.com/repo/
GuardianAndroid,12,https://dl.bintray.com/guardian/android/
Codewaves,12,https://dl.bintray.com/codewaves/maven/
GroundTruth,11,https://dl.bintray.com/groundtruth/pubsvcs/
NanorepCore,8,https://dl.bintray.com/nanorep/core/
Spring Plugins,7,https://repo.spring.io/plugins-release/chartizate/
AlphaCephei,6,https://alphacephei.com/maven/
Bluecabin,4,https://dl.bintray.com/bluecabin/maven/
Publit,4,https://dl.bintray.com/publitio/publitio-android-sdk/
Empyr,3,https://dl.bintray.com/empyrnetwork/empyrnetwork/
Kotlin EAP,3,https://dl.bintray.com/kotlin/kotlin-eap/
ApolloGraphAndroid,3,https://dl.bintray.com/apollographql/android/
MopubSDK,3,https://dl.bintray.com/mopub/mopub-android-sdk/
Clevertap,2,https://dl.bintray.com/clevertap/Maven/
Spring Plugins,1,https://repo.spring.io/plugins-release/smartdevicelink/bintray-
Redhat EA,1,https://maven.repository.redhat.com/earlyaccess/all/
Epam RP,1,https://dl.bintray.com/epam/reportportal/
Kotlin Dev,1,https://dl.bintray.com/kotlin/kotlin-dev/
Spring Plugins,1,https://repo.spring.io/plugins-release/sqlite4a/
Gradle Plugins,1,https://plugins.gradle.org/m2/
Snplow,1,http://maven.snplow.com/releases/
Atlassian 3rd-P Old,1,https://maven.atlassian.com/3rdparty/
Spring Lib Release,1,https://repo.spring.io/libs-release/permission/
Agora,1,https://dl.bintray.com/agora/maven/
Alfresco 3rdParty,1,https://artifacts.alfresco.com/nexus/content/repositories/thirdparty/
