Trifork,2,https://nexus.trifork.com/content/repositories/releases/
NanorepDevCore,2,https://dl.bintray.com/nanorep/devcore/
Spring Plugins,1,https://repo.spring.io/plugins-release/smartdevicelink/bintray-
Epam RP,1,https://dl.bintray.com/epam/reportportal/
Clevertap,1,https://dl.bintray.com/clevertap/Maven/
Empyr,1,https://dl.bintray.com/empyrnetwork/empyrnetwork/
Spring Plugins,1,https://repo.spring.io/plugins-release/sqlite4a/
Gradle Plugins,1,https://plugins.gradle.org/m2/
Snplow,1,http://maven.snplow.com/releases/
Spring Lib Release,1,https://repo.spring.io/libs-release/permission/
WSO2 Public,1,https://maven.wso2.org/nexus/content/repositories/public/
Agora,1,https://dl.bintray.com/agora/maven/
Erudika,1,https://dl.bintray.com/erudika/releases/
Sofia2,1,http://sofia2.org/nexus/content/repositories/releases/
NanorepCore,1,https://dl.bintray.com/nanorep/core/
Bytedance,1,https://artifact.bytedance.com/repository/AwemeOpenSDK/
